name,fra_code,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,total,densite
Auvergne-Rhône-Alpes,REG-84,949955,993524,901366,1004809,1041062,1040667,924286,659703,490510,8005882,112
Hauts-de-France,REG-32,747088,795247,698337,755993,766398,767272,703918,429351,313833,5977437,189
Provence-Alpes-Côte d'Azur,REG-93,556476,576571,517017,598183,637206,677902,631839,492051,361160,5048405,159
Grand Est,REG-44,609398,663160,623642,677704,705620,758833,703089,445993,337852,5525291,97
Occitanie,REG-76,631407,694384,634314,693614,745017,784106,753107,545809,417451,5899209,79
Normandie,REG-28,375628,415110,346929,387009,413015,438587,430212,284333,222517,3313340,112
Nouvelle-Aquitaine,REG-75,607674,692814,596967,679566,764438,804089,811702,573291,455777,5986318,70
Centre-Val de Loire,REG-24,289784,314123,251832,293495,325727,341526,333147,229367,186257,2565258,66
Bourgogne-Franche-Comté,REG-27,299642,335230,279691,317807,348123,375500,373352,262102,201886,2793333,59
Bretagne,REG-53,362949,417398,336406,380228,428400,442035,436034,296262,234008,3333720,120
Corse,REG-94,33991,34211,33993,42991,45665,47324,44700,35324,23355,341554,37
Pays de la Loire,REG-52,445294,492676,398684,456484,489361,482347,462445,310941,249168,3787400,115
Île-de-France,REG-11,1607040,1537855,1660694,1753466,1675694,1534825,1175851,760752,538630,12244807,1001
Guadeloupe,REG-01,41761,52218,35628,37459,51318,60928,50285,31470,20227,381294,0
Martinique,REG-02,35663,44708,32547,34648,45373,63519,51152,32451,23423,363484,0
Guyane,REG-03,60974,57663,39167,39061,33984,26242,16439,6852,3157,283539,0
La Réunion,REG-04,123539,135671,99954,105435,115474,123718,86002,44119,24049,857961,0
Mayotte,REG-06,81893,62952,35333,36337,27109,14226,7459,2921,1241,269471,0
